,rmsf_cdrs_mu_400,gyr_cdrs_Rg_std_400,all-temp_lamda_b=25_eq=20,tagg
0,0.2243057777777777,0.0291371064565327,1.0780586284508842,-0.0339411010597767
1,0.2265189460476787,0.0360231556023405,1.327675990474616,-0.1707518653768472
2,0.2670996710526315,0.0342582994443683,1.3010102791453075,0.4277952285103385
3,0.1765,0.0255889312299294,0.9641170098142802,1.2572104871825818
4,0.3022317647058823,0.1025611435535864,1.5921753487586685,-3.343051462978932
5,0.3105460686600221,0.0585108984975363,1.0053345635740767,-1.4619034536192053
6,0.2832422425032594,0.0504622171976441,1.3677721825851306,-0.2306065747655661
7,0.1856983160621761,0.0286671773169145,0.8901356372988165,-0.9488630874301894
8,0.1533729770992366,0.0343721819346961,0.9843268589802404,1.299963851031667
9,0.1607676940639269,0.0280047154072011,0.958770027617858,0.5902580111368596
10,0.2158334419109663,0.0200416688735329,0.987327556679416,-0.2049545564561155
11,0.1792791146424517,0.0233373882661829,1.1507271373517054,0.4962006106688738
12,0.2030998812351543,0.0329246503762526,1.1231585105490964,0.2738831186536338
13,0.3015488157894737,0.0816641177986878,1.3124439491136666,0.0713925512825098
14,0.2273120795107033,0.0282548834401672,1.0999792154923007,-0.957413760200006
15,0.1879803418803418,0.0240112134846402,1.0867074344141474,0.2824337914234502
16,0.2172499276410998,0.0375898523885128,1.1956774218121486,0.3337378280423514
17,0.2096654471544715,0.0269292384587384,1.0333669039806428,0.2824337914234502
