,bonds_contacts_std_350,all-temp-sasa_core_mean_k=20_eq=20,all-temp-sasa_core_std_k=20_eq=20,r-lamda_b=2.5_eq=20,tmonset
0,16.90909127335406,-0.0594591283814137,-0.2035602607177027,0.8108695723021433,-1.9559299997249828
1,14.453598150148096,0.1200669367727537,0.2028061079562099,0.8409151839652065,-0.5097488521573691
2,14.148016829748494,0.1688148113556966,0.4415647548660561,0.8577279874867552,0.8794960297579764
3,14.679425149545484,0.0416969877281367,0.1029763155615298,0.847568915051889,-0.4983615990269152
4,13.736014921791242,0.0846828520280479,0.0999150436160546,0.8394204613307906,0.5720401952357276
5,14.020655397136942,-0.042407717331164,-0.0930446556383665,0.8595162824661974,0.4196395112921465
6,16.177878405152313,-0.3180402321673463,-0.5077240201454609,0.7755905829352878,-3.2199150972053374
7,14.91977992782916,-0.0342151175524806,-0.0236362619154302,0.8216492765431175,0.6631382202793564
8,14.677262928072304,0.1781255841429232,0.1563846208985547,0.8326826210510243,0.685912726540264
9,14.70231038654662,0.2768262002217858,0.5152569872572944,0.8396839130078532,0.5378784358443669
10,15.73671241797756,0.0001692759497602,0.0005078278492808,0.8473312715118748,-0.5780723709400911
11,14.272484219755762,-0.1139819614830998,-0.1600289769171339,0.8142886848820519,-0.5780723709400911
12,14.959773612811432,0.049434443074671,0.1294538308307889,0.816666082059188,-1.056337002419144
13,14.387583149311965,-0.0081322639656514,-0.0295661887710511,0.8257560509635435,0.6403637140184496
14,15.37171879819463,0.1678586465843293,0.3625730314164995,0.8203912846137386,0.4349923468571477
15,13.6591355279249,0.3196741091109428,0.3930599401159155,0.8113657589023903,0.4467804108007372
16,14.75609040626983,0.3534606511897711,0.930352809707538,0.8383814150177473,0.6605971741016261
17,14.58284239947194,0.0008979618245519,-0.1339382936851123,0.8623720849712664,0.7883980047143467
18,14.260762035482044,-0.0250724167914155,-0.032228352289915,0.8099038241059552,0.7200744859316246
