,ABangle_HC1,pro_pI_3D,pro_patch_cdr_hyd_2,tagg
0,71.69479124,8.575097656,242.4,-0.0339411010597767
1,70.99264409999999,6.666953125999999,313.4,-0.1707518653768472
2,72.50365328,6.9589843700000005,377.2,0.4277952285103385
3,71.48493886,8.437402348,387.8,1.2572104871825818
4,67.25528132000001,3.980996086,137.0,-3.343051462978932
5,67.65568112,3.916757812,206.8,-1.4619034536192053
6,66.06724348,9.468652344,251.4,-0.2306065747655661
7,70.1580467,3.953828124,302.0,-0.9488630874301894
8,69.83496596,8.249609374,260.2,1.299963851031667
9,72.00259338,7.251171884000001,257.0,0.5902580111368596
10,72.2700462,6.414824226,381.2,-0.2049545564561155
11,74.46051177999999,7.200195312,281.4,0.4962006106688738
12,70.27039782,4.462402344,219.0,0.2738831186536338
13,69.30839055102041,6.772610408163265,248.9795918367347,0.0713925512825098
14,67.39805559999999,7.192871098,180.6,-0.957413760200006
15,69.2583833,9.29199219,245.6,0.2824337914234502
16,70.3841798,9.004296876,179.6,0.3337378280423514
17,73.53693328,8.365039066000001,321.4,0.2824337914234502
