,E,pro_zquadrupole,pro_asa_hyd,tmonset
0,-3445.4780560000004,1.4717137228,5675.220342,-1.9559299997249828
1,-3894.816284,0.538362483486,6281.862258,-0.5097488521573691
2,-3838.430182,1.0867619066,6064.907504,0.8794960297579764
3,-3585.75931,0.41088854944,6778.970899999999,-0.4983615990269152
4,-3130.9360720000004,0.8321468442,6172.808728,0.5720401952357276
5,-3288.420634,2.194865774,5864.137326,0.4196395112921465
6,-3540.877874,6.130817584,6393.912318,-3.2199150972053374
7,-3656.26466,3.735182598,5959.241812,0.6631382202793564
8,-3251.509302,2.097422453,6062.981221999999,0.685912726540264
9,-3798.358318,0.8803575354000001,5846.939162,0.5378784358443669
10,-3556.695966,0.22222625945,5732.869498000001,-0.5780723709400911
11,-3556.237552,0.8115889336,6852.399486,-0.5780723709400911
12,-3385.716066,0.277651419382,5890.1715300000005,-1.056337002419144
13,-3448.938312,1.66091497,6021.132862,0.6403637140184496
14,-3170.909636734694,0.6241467524489795,5872.860148979592,0.4349923468571477
15,-3640.648686,0.1287403524008,5674.742912,0.4467804108007372
16,-3843.523298,2.1883763446,6000.2576340000005,0.6605971741016261
17,-3579.466182,1.3406980882,5695.218388,0.7883980047143467
18,-3347.407514,0.60837648828,5592.34112,0.7200744859316246
